0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:44:37 +0900] "GET /bookrental/css/subscrUpdate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:44:40 +0900] "GET /bookrental/BookServlet?command=subscr_update_form&subscrid=8 HTTP/1.1" 200 7283
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:44:40 +0900] "GET /bookrental/css/subscrUpdate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:08 +0900] "GET /bookrental/BookServlet?command=subscr_update_form&subscrid=8 HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:08 +0900] "GET /bookrental/css/subscrUpdate.css HTTP/1.1" 200 3275
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:17 +0900] "GET /bookrental/BookServlet?command=subscr_update_form&subscrid=8 HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:17 +0900] "GET /bookrental/css/subscrUpdate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:18 +0900] "GET /bookrental/BookServlet?command=subscr_update_form&subscrid=8 HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:18 +0900] "GET /bookrental/css/subscrUpdate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:18 +0900] "GET /bookrental/BookServlet?command=subscr_update_form&subscrid=8 HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:18 +0900] "GET /bookrental/css/subscrUpdate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:22 +0900] "GET /bookrental/BookServlet?command=logout-form HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:22 +0900] "GET /bookrental/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:22 +0900] "GET /bookrental/BookServlet?command=book_main HTTP/1.1" 200 6957
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:22 +0900] "GET /bookrental/css/reset.css HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:22 +0900] "GET /bookrental/css/main.css HTTP/1.1" 200 2267
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:22 +0900] "GET /bookrental/css/header.css HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:22 +0900] "GET /bookrental/script/header.js HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:22 +0900] "GET /bookrental/image/logo.jpg HTTP/1.1" 200 4476
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:22 +0900] "GET /bookrental/script/bookMain.js HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:22 +0900] "GET /bookrental/image/serch.jpg HTTP/1.1" 200 1197
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:23 +0900] "GET /bookrental/image/slide1.jpg HTTP/1.1" 200 110719
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:23 +0900] "GET /bookrental/image/slide2.jpg HTTP/1.1" 200 135543
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:23 +0900] "GET /bookrental/image/slide3.jpg HTTP/1.1" 200 70868
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:23 +0900] "GET /bookrental/css/footer.css HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:23 +0900] "GET /bookrental/image/slide4.jpg HTTP/1.1" 200 134812
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:23 +0900] "GET /bookrental/image/%ED%9D%AC%EB%A7%9D%EC%9D%98%EA%B8%B0%EB%8F%841.jpg HTTP/1.1" 200 53260
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:23 +0900] "GET /bookrental/image/%EA%BC%AC%EB%A7%88%EB%84%93%EC%A0%81%EC%82%AC%EC%8A%B4%EB%B2%8C%EB%A0%881.jpg HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:23 +0900] "GET /bookrental/image/%ED%95%9C%EA%B5%AD%EC%9D%B4%EC%97%B4%EA%B4%91%ED%95%A0%ED%8A%B8%EB%A0%8C%EB%93%9C.jpg HTTP/1.1" 200 84464
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:23 +0900] "GET /bookrental/image/%EA%B3%A0%EC%96%91%EC%9D%B4%ED%95%B4%EA%B2%B0%EC%82%AC%EA%B9%9C%EB%83%A5.jpg HTTP/1.1" 200 58680
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:23 +0900] "GET /bookrental/image/%ED%95%B5%EA%B0%9C%EC%9D%B8%EC%9D%98%20%EC%8B%9C%EB%8C%80.jpg HTTP/1.1" 200 20523
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:23 +0900] "GET /bookrental/image/%EC%9E%90%EB%B0%94%EC%9D%98%EC%8B%A0.jpg HTTP/1.1" 200 43340
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:23 +0900] "GET /bookrental/image/%EC%B1%85%EC%9C%BC%EB%A1%9C%EA%B0%80%EB%8A%94%EB%AC%B8.jpg HTTP/1.1" 200 57379
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:23 +0900] "GET /bookrental/image/%EA%BC%AC%EB%A7%88%EB%84%93%EC%A0%81%EC%82%AC%EC%8A%B4%EB%B2%8C%EB%A0%881.jpg HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:24 +0900] "GET /bookrental/BookServlet?command=book_main HTTP/1.1" 200 6957
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:24 +0900] "GET /bookrental/image/%EA%BC%AC%EB%A7%88%EB%84%93%EC%A0%81%EC%82%AC%EC%8A%B4%EB%B2%8C%EB%A0%881.jpg HTTP/1.1" 404 909
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:46:25 +0900] "GET /bookrental/BookServlet?command=login-form HTTP/1.1" 302 -
